DISTRITO,MIDIS,MUNILIMA
ANCON,34,25
ATE,256,24
BARRANCO,0,1
BELLAVISTA,0,0
BREÑA,0,0
CALLAO,0,0
CARABAYLLO,170,58
CARMEN DE LA LEGUA REYNOSO,0,0
CHACLACAYO,23,12
CHORRILLOS,73,22
CIENEGUILLA,9,10
COMAS,433,127
EL AGUSTINO,99,11
INDEPENDENCIA,193,96
JESUS MARIA,1,0
LA MOLINA,0,0
LA PERLA,0,0
LA PUNTA,0,0
LA VICTORIA,23,1
LIMA,50,0
LINCE,0,0
LOS OLIVOS,93,1
LURIGANCHO,174,75
LURIN,53,12
MAGDALENA DEL MAR,0,1
MI PERU,0,0
MIRAFLORES,0,0
PACHACAMAC,49,137
PUCUSANA,11,12
PUEBLO LIBRE,1,0
PUENTE PIEDRA,129,71
PUNTA HERMOSA,1,7
PUNTA NEGRA,4,2
RIMAC,34,69
SAN BARTOLO,3,2
SAN BORJA,0,0
SAN ISIDRO,0,0
SAN JUAN DE LURIGANCHO,326,420
SAN JUAN DE MIRAFLORES,177,156
SAN LUIS,1,0
SAN MARTIN DE PORRES,100,9
SAN MIGUEL,6,0
SANTA ANITA,47,1
SANTA MARIA DEL MAR,1,0
SANTA ROSA,4,108
SANTIAGO DE SURCO,25,0
SURQUILLO,4,0
VENTANILLA,0,0
VILLA EL SALVADOR,242,35
VILLA MARIA DEL TRIUNFO,198,377
